"name"	"taxRank"	"taxID"	"Max"	"C001_FD2_ORC.cladeReads"	"C001_FD2_TZO.cladeReads"	"C001_FD3_ORC.cladeReads"	"C001_FD3_TZO.cladeReads"	"C001_L.3_ORC.cladeReads"	"C001_L.3_TZO.cladeReads"	"C001_L.44_ORC.cladeReads"	"C001_L.44_TZO.cladeReads"	"C001_L.92_ORC.cladeReads"	"C001_L.92_TZO.cladeReads"	"C001_R.1_ORC.cladeReads"	"C001_R.1_TZO.cladeReads"	"C001_R.45_ORC.cladeReads"	"C001_R.45_TZO.cladeReads"	"C001_R.82_ORC.cladeReads"	"C001_R.82_TZO.cladeReads"	"C002_FD2_ORC.cladeReads"	"C002_FD2_TZO.cladeReads"	"C002_FD3_ORC.cladeReads"	"C002_FD3_TZO.cladeReads"	"C002_L.3_ORC.cladeReads"	"C002_L.3_TZO.cladeReads"	"C002_L.44_ORC.cladeReads"	"C002_L.44_TZO.cladeReads"	"C002_L.92_ORC.cladeReads"	"C002_L.92_TZO.cladeReads"	"C002_R.1_ORC.cladeReads"	"C002_R.1_TZO.cladeReads"	"C002_R.45_ORC.cladeReads"	"C002_R.45_TZO.cladeReads"	"C002_R.82_ORC.cladeReads"	"C002_R.82_TZO.cladeReads"	"C003_FD2_ORC.cladeReads"	"C003_FD2_TZO.cladeReads"	"C003_FD3_ORC.cladeReads"	"C003_FD3_TZO.cladeReads"	"C003_L.3_ORC.cladeReads"	"C003_L.3_TZO.cladeReads"	"C003_L.44_ORC.cladeReads"	"C003_L.44_TZO.cladeReads"	"C003_L.92_ORC.cladeReads"	"C003_L.92_TZO.cladeReads"	"C003_R.1_ORC.cladeReads"	"C003_R.45_ORC.cladeReads"	"C003_R.45_TZO.cladeReads"	"C003_R.82_ORC.cladeReads"	"C003_R.82_TZO.cladeReads"	"C004_FD2_ORC.cladeReads"	"C004_FD2_TZO.cladeReads"	"C004_FD3_ORC.cladeReads"	"C004_FD3_TZO.cladeReads"	"C004_L.3_ORC.cladeReads"	"C004_L.3_TZO.cladeReads"	"C004_L.44_ORC.cladeReads"	"C004_L.44_TZO.cladeReads"	"C004_L.92_ORC.cladeReads"	"C004_L.92_TZO.cladeReads"	"C004_R.1_ORC.cladeReads"	"C004_R.1_TZO.cladeReads"	"C004_R.45_ORC.cladeReads"	"C004_R.45_TZO.cladeReads"	"C004_R.82_ORC.cladeReads"	"C004_R.82_TZO.cladeReads"	"lineage"
"Mycobacterium sp. 20KCMC460"	"S"	2903536	709	NA	2	10	NA	NA	NA	NA	NA	NA	1	NA	NA	2	2	NA	NA	8	NA	NA	NA	1	NA	NA	9	NA	8	NA	NA	1	NA	NA	NA	NA	17	NA	NA	NA	709	12	26	NA	NA	NA	15	NA	NA	23	1	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycobacterium>unclassified&nbsp;Mycobacterium"
"Mycobacterium sp. SMC-8"	"S"	2857060	293	NA	2	NA	NA	NA	7	NA	2	NA	27	NA	NA	NA	NA	12	NA	NA	NA	NA	66	NA	26	NA	27	1	293	NA	6	NA	8	NA	NA	NA	NA	NA	NA	NA	69	2	NA	NA	26	63	NA	NA	NA	11	1	NA	NA	NA	NA	10	3	NA	NA	NA	NA	16	NA	NA	3	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycobacterium>unclassified&nbsp;Mycobacterium"
"Mycobacterium marinum"	"S"	1781	63	NA	1	NA	21	NA	2	NA	NA	NA	13	1	1	NA	2	NA	1	NA	NA	NA	NA	NA	3	NA	NA	NA	1	NA	NA	NA	3	NA	5	NA	2	NA	2	10	NA	NA	63	NA	2	NA	NA	NA	1	3	NA	NA	NA	1	NA	1	NA	17	NA	2	NA	1	1	3	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycobacterium>Mycobacterium&nbsp;ulcerans&nbsp;group"
"Mycobacterium kansasii"	"S"	1768	256	NA	9	NA	NA	2	28	NA	35	4	8	NA	NA	NA	NA	NA	17	NA	NA	3	256	NA	NA	1	27	NA	31	NA	8	NA	34	3	4	7	32	NA	5	4	178	NA	NA	NA	50	30	1	1	NA	9	NA	NA	NA	NA	1	42	10	28	NA	NA	3	NA	NA	4	13	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycobacterium"
"Mycobacterium dioxanotrophicus"	"S"	482462	70	NA	5	NA	3	3	2	NA	1	NA	1	NA	NA	NA	1	NA	10	4	2	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	5	NA	2	NA	70	NA	1	NA	24	NA	NA	2	NA	NA	1	1	NA	15	NA	57	NA	5	NA	3	NA	2	NA	2	NA	4	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycobacterium"
"Mycobacterium leprae"	"S"	1769	25	NA	4	NA	NA	NA	8	NA	NA	4	1	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	1	NA	NA	NA	5	NA	NA	NA	1	NA	8	NA	NA	1	NA	NA	3	NA	3	1	1	25	11	3	NA	NA	4	17	1	1	3	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycobacterium"
"Mycobacterium gordonae"	"S"	1778	612	NA	4	49	81	14	16	92	52	1	21	211	49	2	8	16	198	NA	289	2	360	9	56	1	30	2	8	1	22	1	98	11	79	11	64	5	9	16	612	131	222	1	121	129	23	4	32	44	7	428	30	133	NA	32	10	75	NA	42	26	76	NA	11	31	18	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycobacterium"
"Mycobacterium vicinigordonae"	"S"	1719132	18	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	18	NA	NA	NA	NA	12	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	6	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycobacterium"
"Mycobacterium noviomagense"	"S"	459858	11	NA	1	NA	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	6	NA	4	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	5	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycobacterium"
"Mycolicibacterium mageritense"	"S"	53462	75	NA	24	NA	41	NA	26	NA	NA	1	1	1	7	NA	8	2	2	5	NA	1	NA	NA	8	NA	4	NA	NA	1	12	1	NA	3	14	6	14	5	2	14	NA	51	18	NA	NA	NA	NA	NA	26	3	NA	68	2	2	NA	30	6	29	NA	75	NA	25	NA	3	NA	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycolicibacterium"
"Mycolicibacterium diernhoferi"	"S"	1801	70	NA	11	2	5	1	7	NA	21	NA	1	13	9	NA	NA	8	24	NA	NA	NA	70	1	30	NA	16	NA	1	2	1	NA	2	NA	5	6	13	NA	9	NA	NA	NA	2	NA	42	NA	15	2	NA	14	NA	4	NA	9	NA	24	NA	2	1	2	1	4	NA	17	NA	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycolicibacterium"
"Mycolicibacterium monacense"	"S"	85693	159	NA	9	NA	NA	NA	13	NA	NA	NA	NA	23	NA	NA	NA	NA	31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	7	4	1	2	NA	NA	2	78	NA	NA	NA	17	NA	11	NA	NA	157	5	159	NA	NA	NA	NA	NA	NA	NA	21	NA	NA	4	4	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycolicibacterium"
"Mycolicibacterium duvalii"	"S"	39688	65	NA	8	NA	NA	NA	NA	NA	61	NA	23	NA	31	NA	21	3	21	6	NA	NA	NA	NA	52	NA	1	NA	NA	NA	NA	NA	NA	1	2	NA	6	5	2	NA	NA	NA	2	NA	24	NA	NA	4	NA	5	2	65	NA	16	NA	NA	NA	5	NA	NA	NA	NA	NA	6	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycolicibacterium"
"Mycolicibacterium psychrotolerans"	"S"	216929	30	NA	7	NA	30	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	1	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	1	NA	NA	3	NA	5	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	3	17	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycolicibacterium"
"Mycolicibacterium baixiangningiae"	"S"	2761578	58	NA	6	NA	NA	NA	NA	NA	12	NA	NA	NA	NA	NA	16	2	NA	NA	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	3	53	NA	NA	NA	30	NA	58	NA	10	2	1	NA	15	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycolicibacterium"
"Mycolicibacterium austroafricanum"	"S"	39687	227	NA	6	NA	NA	NA	NA	12	NA	NA	14	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	227	NA	NA	NA	24	1	NA	NA	NA	NA	NA	91	NA	27	NA	NA	NA	NA	NA	11	NA	16	NA	NA	3	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycolicibacterium"
"Mycolicibacterium helvum"	"S"	1534349	20	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycolicibacterium"
"Mycolicibacterium tokaiense"	"S"	39695	121	NA	4	NA	NA	4	41	NA	NA	NA	NA	9	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	1	NA	NA	4	NA	NA	NA	NA	3	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	66	NA	NA	2	42	NA	121	NA	NA	3	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycolicibacterium"
"Mycolicibacterium mengxianglii"	"S"	2736649	26	NA	3	NA	NA	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	1	NA	NA	NA	NA	NA	NA	NA	20	NA	NA	8	15	NA	2	4	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycolicibacterium"
"Mycolicibacterium vaccae"	"S"	1810	81	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44	81	NA	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycolicibacterium"
"Mycolicibacterium madagascariense"	"S"	212765	64	NA	1	NA	NA	1	12	NA	NA	NA	5	9	NA	1	10	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	13	3	NA	NA	5	NA	NA	NA	NA	48	NA	2	NA	37	22	6	NA	6	NA	NA	NA	1	NA	NA	NA	17	NA	21	5	64	NA	8	47	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycolicibacterium"
"Mycolicibacterium aichiense"	"S"	1799	37	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	1	2	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	1	NA	NA	NA	NA	37	NA	NA	1	NA	5	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycolicibacterium"
"Mycolicibacterium pallens"	"S"	370524	51	NA	1	NA	51	NA	20	NA	NA	NA	6	NA	NA	NA	NA	NA	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	24	NA	NA	1	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycolicibacterium"
"Mycolicibacillus parakoreensis"	"S"	1069221	24	NA	5	NA	NA	NA	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	5	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	19	NA	20	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	7	20	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycolicibacillus"
"Mycobacteroides chelonae"	"S"	1774	2275	NA	11	35	26	12	39	1	4	NA	7	4	37	NA	3	18	31	9	151	1	118	1	NA	1	NA	2	50	NA	8	NA	68	4	3	15	14	5	6	16	2275	22	107	NA	NA	62	1	4	22	32	2	10	NA	38	NA	25	NA	NA	NA	NA	NA	16	NA	3	58	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Mycobacteriaceae>Mycobacteroides"
"Rhodococcus sp. ABRD24"	"S"	2507582	426	NA	5	35	2	1	23	1	12	1	3	NA	2	NA	7	NA	17	1	10	NA	13	NA	426	NA	10	NA	4	NA	103	NA	6	2	11	1	25	4	NA	NA	15	3	22	NA	13	NA	5	2	1	4	1	14	9	7	NA	20	2	35	NA	11	NA	3	NA	9	3	13	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Nocardiaceae>Rhodococcus>unclassified&nbsp;Rhodococcus&nbsp;(in:&nbsp;high&nbsp;G+C&nbsp;Gram&#x2011;positive&nbsp;bacteria)"
"Rhodococcus sp. Z13"	"S"	2962047	13	NA	2	1	NA	NA	6	NA	2	NA	5	NA	2	NA	2	NA	NA	NA	2	NA	2	NA	13	NA	NA	NA	1	NA	NA	NA	3	NA	NA	4	6	NA	6	NA	NA	NA	3	NA	6	NA	NA	6	NA	1	NA	1	NA	3	NA	NA	NA	3	NA	2	NA	5	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Nocardiaceae>Rhodococcus>unclassified&nbsp;Rhodococcus&nbsp;(in:&nbsp;high&nbsp;G+C&nbsp;Gram&#x2011;positive&nbsp;bacteria)"
"Rhodococcus sp. M8-35"	"S"	3058401	7	NA	1	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Nocardiaceae>Rhodococcus>unclassified&nbsp;Rhodococcus&nbsp;(in:&nbsp;high&nbsp;G+C&nbsp;Gram&#x2011;positive&nbsp;bacteria)"
"Rhodococcus sp. MTM3W5.2"	"S"	1805827	43	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	37	NA	NA	NA	5	NA	NA	NA	43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	6	NA	14	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Nocardiaceae>Rhodococcus>unclassified&nbsp;Rhodococcus&nbsp;(in:&nbsp;high&nbsp;G+C&nbsp;Gram&#x2011;positive&nbsp;bacteria)"
"Rhodococcus qingshengii"	"S"	334542	859	NA	39	52	38	2	84	65	113	1	26	36	53	NA	36	10	85	NA	36	1	45	NA	228	NA	10	NA	54	8	3	1	27	NA	38	20	17	11	21	42	859	24	208	2	24	21	21	35	58	32	1	69	11	59	1	55	NA	677	2	198	2	25	2	18	24	14	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Nocardiaceae>Rhodococcus>Rhodococcus&nbsp;erythropolis&nbsp;group"
"Rhodococcus globerulus"	"S"	33008	96	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	96	NA	NA	NA	NA	NA	3	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	15	NA	NA	NA	NA	NA	7	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Nocardiaceae>Rhodococcus"
"Rhodococcus aetherivorans"	"S"	191292	13	NA	1	NA	NA	NA	NA	NA	3	NA	8	NA	1	NA	2	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	13	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Nocardiaceae>Rhodococcus"
"Rhodococcus triatomae"	"S"	300028	31	NA	1	NA	11	NA	23	NA	2	NA	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	3	NA	NA	31	NA	3	NA	8	NA	1	1	NA	NA	1	NA	23	NA	NA	NA	NA	NA	4	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Nocardiaceae>Rhodococcus"
"Nocardia tengchongensis"	"S"	2055889	20	NA	8	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	20	NA	NA	2	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Nocardiaceae>Nocardia"
"Nocardia wallacei"	"S"	480035	49	NA	5	NA	NA	NA	3	1	5	NA	1	NA	26	NA	1	7	7	NA	NA	3	49	NA	NA	NA	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	2	NA	2	1	NA	39	NA	17	NA	1	NA	17	5	NA	2	39	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Nocardiaceae>Nocardia"
"Nocardia farcinica"	"S"	37329	250	NA	4	4	29	NA	39	28	6	NA	2	250	19	NA	3	2	NA	35	54	NA	131	1	84	NA	12	2	17	3	3	NA	43	NA	30	2	55	32	2	39	78	30	29	2	11	78	11	2	21	2	NA	6	3	7	1	32	5	73	1	108	6	55	NA	2	4	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Nocardiaceae>Nocardia"
"Nocardia salmonicida"	"S"	53431	206	NA	3	NA	14	NA	22	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	12	NA	NA	15	59	NA	NA	NA	NA	22	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	206	NA	NA	NA	NA	NA	7	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Nocardiaceae>Nocardia"
"Nocardia terpenica"	"S"	455432	51	NA	1	NA	NA	NA	51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	8	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Nocardiaceae>Nocardia"
"Prescottella sp. R16"	"S"	3064529	10	NA	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	8	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	2	NA	NA	NA	NA	NA	NA	10	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Nocardiaceae>Prescottella>unclassified&nbsp;Prescottella"
"Gordonia polyisoprenivorans"	"S"	84595	259	NA	98	NA	121	5	24	1	54	NA	9	4	2	NA	20	15	70	NA	21	1	116	4	259	1	15	NA	2	NA	NA	NA	16	7	26	9	38	6	NA	6	47	NA	75	NA	16	27	6	2	NA	25	NA	151	12	83	1	43	2	65	NA	60	NA	40	2	12	9	17	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Gordoniaceae>Gordonia"
"Gordonia sp. SMJS1"	"S"	3039400	184	NA	18	NA	22	NA	15	NA	47	NA	28	1	22	NA	26	NA	14	1	40	NA	31	1	18	NA	13	NA	26	NA	5	NA	31	NA	8	2	31	2	60	NA	NA	NA	19	NA	42	NA	1	75	NA	18	NA	184	1	13	NA	8	NA	30	NA	108	NA	30	NA	41	NA	15	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Gordoniaceae>Gordonia>unclassified&nbsp;Gordonia&nbsp;(in:&nbsp;high&nbsp;G+C&nbsp;Gram&#x2011;positive&nbsp;bacteria)"
"Gordonia sp. Swx-4"	"S"	3029399	45	NA	11	NA	NA	NA	NA	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45	NA	NA	NA	NA	NA	10	NA	NA	NA	35	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	22	8	2	NA	1	NA	NA	NA	NA	NA	NA	10	26	NA	NA	NA	NA	NA	3	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Gordoniaceae>Gordonia>unclassified&nbsp;Gordonia&nbsp;(in:&nbsp;high&nbsp;G+C&nbsp;Gram&#x2011;positive&nbsp;bacteria)"
"Gordonia sp. PDNC005"	"S"	2811424	51	NA	2	NA	12	1	22	NA	11	1	7	NA	29	NA	22	1	10	1	1	NA	NA	NA	NA	NA	1	2	NA	NA	8	NA	NA	4	NA	NA	4	NA	2	NA	NA	NA	1	NA	1	NA	NA	NA	NA	4	NA	21	2	6	NA	51	NA	16	NA	8	1	11	NA	12	2	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Gordoniaceae>Gordonia>unclassified&nbsp;Gordonia&nbsp;(in:&nbsp;high&nbsp;G+C&nbsp;Gram&#x2011;positive&nbsp;bacteria)"
"Gordonia terrae"	"S"	2055	770	NA	9	NA	NA	NA	42	NA	88	NA	15	NA	NA	NA	9	NA	25	NA	NA	NA	3	2	14	NA	92	3	770	NA	NA	NA	71	2	16	3	NA	11	5	9	125	NA	NA	NA	18	NA	NA	74	NA	6	NA	177	NA	21	1	NA	12	77	NA	NA	NA	NA	NA	1	6	62	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Gordoniaceae>Gordonia"
