"name"	"taxRank"	"taxID"	"Max"	"C001_FD2.cladeReads"	"C001_FD3.cladeReads"	"C001_L.3.cladeReads"	"C001_L.44.cladeReads"	"C001_L.92.cladeReads"	"C001_R.1.cladeReads"	"C001_R.45.cladeReads"	"C001_R.82.cladeReads"	"C002_FD2.cladeReads"	"C002_FD3.cladeReads"	"C002_L.3.cladeReads"	"C002_L.44.cladeReads"	"C002_L.92.cladeReads"	"C002_R.1.cladeReads"	"C002_R.45.cladeReads"	"C002_R.82.cladeReads"	"C003_FD2.cladeReads"	"C003_FD3.cladeReads"	"C003_L.3.cladeReads"	"C003_L.44.cladeReads"	"C003_L.92.cladeReads"	"C003_R.45.cladeReads"	"C003_R.82.cladeReads"	"C004_FD2.cladeReads"	"C004_FD3.cladeReads"	"C004_L.3.cladeReads"	"C004_L.44.cladeReads"	"C004_L.92.cladeReads"	"C004_R.1.cladeReads"	"C004_R.45.cladeReads"	"C004_R.82.cladeReads"	"lineage"
"Microbacterium liquefaciens"	"S"	33918	109	9	10	11	NA	NA	NA	2	1	109	NA	1	19	24	NA	11	5	NA	NA	21	76	NA	NA	5	NA	21	3	NA	NA	23	3	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium chengjingii"	"S"	2769067	52	8	1	52	13	12	16	NA	NA	38	1	14	7	NA	NA	NA	5	7	4	NA	NA	19	NA	3	NA	2	22	2	NA	1	NA	8	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium hominis"	"S"	162426	71	8	9	71	11	10	4	11	36	3	5	25	8	2	23	12	17	11	12	52	49	11	14	14	5	21	33	9	1	24	19	7	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium invictum"	"S"	515415	274	6	NA	44	3	NA	NA	NA	NA	97	24	14	NA	NA	6	NA	NA	NA	NA	274	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium aurum"	"S"	36805	517	5	22	284	81	52	12	9	7	NA	114	151	80	139	80	51	85	16	9	379	66	65	3	31	517	NA	48	251	145	38	37	26	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium esteraromaticum"	"S"	57043	108	4	NA	25	30	NA	NA	NA	18	NA	NA	NA	16	NA	NA	12	3	NA	NA	NA	NA	16	NA	NA	108	NA	NA	NA	NA	3	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium cremeum"	"S"	2782169	143	4	NA	8	7	NA	1	1	14	NA	143	82	NA	NA	3	NA	NA	NA	NA	78	NA	NA	NA	NA	NA	43	NA	NA	27	23	3	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium resistens"	"S"	156977	160	4	NA	14	NA	19	27	3	3	41	NA	160	16	54	NA	NA	20	21	3	4	NA	21	NA	3	2	37	7	NA	NA	11	6	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium azadirachtae"	"S"	582680	109	3	NA	37	NA	13	NA	NA	NA	38	NA	NA	NA	NA	13	NA	24	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	109	NA	1	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium schleiferi"	"S"	69362	154	2	NA	18	11	2	NA	21	4	NA	NA	4	15	64	3	NA	21	17	NA	NA	NA	NA	NA	6	154	NA	46	27	NA	NA	12	9	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium sufflavum"	"S"	2851649	73	1	NA	2	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	7	73	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium lemovicicum"	"S"	1072463	115	1	12	11	13	NA	7	5	5	NA	50	23	36	NA	NA	11	7	15	NA	7	38	2	NA	22	NA	24	7	24	115	26	8	4	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium pygmaeum"	"S"	370764	64	1	NA	22	NA	NA	NA	10	16	62	NA	NA	16	NA	NA	NA	24	NA	NA	58	NA	6	3	6	NA	NA	25	64	NA	23	6	15	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Microbacterium chocolatum"	"S"	84292	511	1	8	108	10	56	NA	5	46	3	511	2	32	NA	110	NA	46	NA	NA	168	42	29	NA	3	138	48	72	11	NA	36	6	22	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
"Curtobacterium"	"G"	2034	9773	100	434	236	146	167	327	567	527	303	1242	673	281	567	262	447	119	327	19	9773	930	229	111	956	1556	329	4116	640	648	294	280	154	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae"
"unclassified Curtobacterium"	"-"	257496	8945	46	375	148	72	99	165	244	265	197	535	417	110	271	140	150	67	197	11	8945	298	58	42	287	410	224	2941	311	466	121	130	89	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Curtobacterium"
"Curtobacterium sp. TC1"	"S"	2862880	167	21	5	16	5	3	6	15	2	NA	2	167	2	28	NA	NA	NA	3	NA	79	47	NA	NA	34	10	22	33	40	63	20	17	11	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Curtobacterium>unclassified&nbsp;Curtobacterium"
"Curtobacterium sp. MCBD17_026"	"S"	2175621	126	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Curtobacterium>unclassified&nbsp;Curtobacterium"
"Curtobacterium flaccumfaciens"	"S"	2035	557	23	15	8	42	25	39	8	15	87	250	96	25	114	26	76	2	23	3	253	101	60	NA	4	557	22	231	90	104	45	1	8	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Curtobacterium"
"Curtobacterium flaccumfaciens pv. flaccumfaciens"	"-"	138532	228	7	NA	NA	NA	9	1	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	13	NA	228	NA	NA	NA	NA	NA	NA	20	13	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Curtobacterium>Curtobacterium&nbsp;flaccumfaciens"
"Leucobacter"	"G"	55968	1498	55	269	420	88	584	118	50	180	256	1305	202	194	175	109	322	147	161	34	1498	1161	131	43	169	915	142	340	178	350	115	75	97	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae"
"unclassified Leucobacter"	"-"	2621730	106	13	27	NA	1	10	4	5	1	NA	73	34	31	18	NA	106	13	NA	1	NA	85	21	6	NA	106	10	38	45	46	13	37	23	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Leucobacter"
"Leucobacter sp. Psy1"	"S"	2875729	56	10	13	NA	1	9	4	1	1	NA	6	32	NA	18	NA	NA	13	NA	1	NA	56	NA	3	NA	1	NA	22	29	46	13	15	14	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Leucobacter>unclassified&nbsp;Leucobacter"
"Leucobacter sp. CX169"	"S"	2813744	106	3	14	NA	NA	1	NA	4	NA	NA	67	2	31	NA	NA	106	NA	NA	NA	NA	29	21	3	NA	104	10	16	16	NA	NA	22	9	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Leucobacter>unclassified&nbsp;Leucobacter"
"Leucobacter allii"	"S"	2932247	74	8	NA	17	14	16	5	2	7	NA	15	NA	NA	NA	1	NA	9	NA	5	74	33	13	3	1	1	1	NA	NA	NA	NA	5	8	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Leucobacter"
"Leucobacter aridicollis"	"S"	283878	433	6	NA	180	22	54	NA	10	2	83	232	1	11	39	5	38	NA	7	3	433	124	16	12	NA	2	58	47	NA	10	65	8	15	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Leucobacter"
"Leucobacter triazinivorans"	"S"	1784719	402	6	67	9	5	30	10	NA	75	NA	402	86	17	NA	4	37	13	70	3	359	65	19	NA	24	NA	48	122	NA	NA	NA	NA	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Leucobacter"
"Leucobacter muris"	"S"	1935379	230	3	29	56	16	71	22	NA	25	77	68	36	34	NA	NA	54	30	4	NA	230	103	NA	NA	NA	188	4	78	33	96	NA	3	12	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Leucobacter"
"Leucobacter tenebrionis"	"S"	2873270	135	3	22	49	5	NA	15	8	1	NA	4	NA	9	20	1	17	NA	15	20	10	135	6	1	27	NA	5	38	1	1	1	1	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Leucobacter"
"Microcella"	"G"	337004	1161	31	153	18	23	47	111	8	123	308	742	126	51	237	145	67	101	46	24	1161	105	63	NA	64	800	87	133	128	225	107	20	29	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae"
"Microcella humidisoli"	"S"	2963406	373	13	49	NA	6	6	55	NA	36	111	346	38	NA	47	28	27	1	14	7	225	2	15	NA	NA	373	45	28	11	54	3	2	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microcella"
"Microcella flavibacter"	"S"	1804990	96	5	14	4	NA	NA	19	NA	6	33	96	1	24	1	20	NA	19	NA	NA	NA	19	NA	NA	7	NA	16	58	3	53	44	4	4	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microcella"
"Microcella alkaliphila"	"S"	279828	79	1	NA	NA	NA	12	NA	1	NA	54	NA	1	NA	14	79	2	NA	NA	NA	26	63	NA	NA	23	NA	NA	4	NA	41	12	6	7	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microcella"
"unclassified Microcella><wbr>Microcella sp."	"S"	1913979	198	1	NA	NA	NA	5	NA	1	NA	49	125	NA	11	NA	12	NA	4	NA	3	198	2	10	NA	14	99	15	20	1	NA	4	2	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microcella>unclassified&nbsp;Microcella"
"Homoserinibacter><wbr>unclassified Homoserinibacter><wbr>Homoserinibacter sp. YIM 151385"	"S"	2985506	411	29	40	16	35	22	39	26	12	6	14	411	104	12	7	7	2	18	4	77	3	3	4	14	48	20	43	47	41	8	16	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Homoserinibacter>unclassified&nbsp;Homoserinibacter"
"Agrococcus"	"G"	46352	2587	24	101	210	115	66	38	8	774	148	640	158	135	107	2587	57	250	165	12	654	146	194	31	71	383	61	206	364	678	26	42	170	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae"
"Agrococcus jejuensis"	"S"	399736	238	2	NA	1	1	5	NA	NA	1	1	1	14	2	NA	238	NA	3	1	NA	97	1	24	5	4	NA	NA	13	36	40	2	2	9	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Agrococcus"
"Agrococcus beijingensis"	"S"	3068634	195	2	NA	11	25	39	NA	2	195	NA	69	NA	16	1	9	NA	55	68	6	145	NA	28	3	17	NA	10	1	92	70	NA	NA	33	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Agrococcus"
"Agrococcus carbonis"	"S"	684552	48	1	NA	7	NA	NA	NA	NA	NA	48	NA	NA	7	NA	NA	NA	33	NA	NA	36	NA	NA	NA	NA	3	7	NA	NA	45	NA	11	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Agrococcus"
"Pseudoclavibacter><wbr>unclassified Pseudoclavibacter><wbr>Pseudoclavibacter sp. Marseille-Q3772"	"S"	2866588	7165	17	14	3	10	NA	2	10	13	NA	NA	38	72	16	NA	2	18	49	2	NA	NA	13	NA	2	141	284	2302	7165	552	719	146	115	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Pseudoclavibacter>unclassified&nbsp;Pseudoclavibacter"
"Luna cluster><wbr>Luna-1 subcluster"	"-"	1655489	33659	16	119	35	52	48	37	12	72	290	401	33659	29	22	24	120	70	77	5	527	73	50	9	59	570	140	2	114	217	65	20	37	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Luna&nbsp;cluster"
"Rhodoluna"	"G"	529883	118	9	1	NA	23	1	1	8	2	98	NA	118	14	10	2	1	1	NA	NA	3	2	NA	4	4	3	63	2	23	4	16	8	6	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Luna&nbsp;cluster>Luna&#x2011;1&nbsp;subcluster"
"Rhodoluna limnophila"	"S"	232537	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Luna&nbsp;cluster>Luna&#x2011;1&nbsp;subcluster>Rhodoluna"
"Rhodoluna lacicola"	"S"	529884	38	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38	NA	NA	NA	15	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Luna&nbsp;cluster>Luna&#x2011;1&nbsp;subcluster>Rhodoluna"
"Aquiluna"	"G"	529881	33482	7	118	19	29	46	NA	2	36	192	199	33482	14	12	6	119	53	49	5	432	32	28	NA	32	566	75	NA	91	211	35	8	26	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Luna&nbsp;cluster>Luna&#x2011;1&nbsp;subcluster"
"unclassified Aquiluna"	"-"	2617988	33354	4	33	1	12	27	NA	2	27	94	144	33354	13	12	6	65	13	12	5	231	1	28	NA	14	180	NA	NA	32	47	35	7	16	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Luna&nbsp;cluster>Luna&#x2011;1&nbsp;subcluster>Aquiluna"
"Candidatus Aquiluna sp. UB-MaderosW2red"	"S"	1855377	33156	2	NA	1	1	1	NA	NA	NA	8	NA	33156	8	12	1	NA	1	1	NA	NA	1	16	NA	NA	1	NA	NA	14	NA	NA	NA	9	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Luna&nbsp;cluster>Luna&#x2011;1&nbsp;subcluster>Aquiluna>unclassified&nbsp;Aquiluna"
"Aquiluna sp. KACHI24"	"S"	2968831	231	2	33	NA	11	26	NA	2	8	86	144	197	NA	NA	5	65	12	11	5	231	NA	NA	NA	14	179	NA	NA	18	NA	35	6	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Luna&nbsp;cluster>Luna&#x2011;1&nbsp;subcluster>Aquiluna>unclassified&nbsp;Aquiluna"
"Aquiluna borgnonia"	"S"	2499157	377	3	84	18	17	2	NA	NA	8	46	55	110	NA	NA	NA	28	24	37	NA	199	3	NA	NA	16	377	45	NA	58	80	NA	NA	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Luna&nbsp;cluster>Luna&#x2011;1&nbsp;subcluster>Aquiluna"
"Rathayibacter"	"G"	33886	566	13	NA	202	4	73	64	211	138	344	350	87	50	27	19	23	566	25	4	384	93	121	11	144	413	24	105	153	100	6	261	465	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae"
"unclassified Rathayibacter"	"-"	2609250	126	9	NA	92	NA	15	NA	5	61	1	NA	10	NA	NA	NA	NA	31	NA	1	126	NA	73	3	7	77	NA	11	71	59	6	30	9	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Rathayibacter"
"Rathayibacter sp. VKM Ac-2762"	"S"	2609254	59	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Rathayibacter>unclassified&nbsp;Rathayibacter"
"Rathayibacter sp. VKM Ac-2805"	"S"	2609258	67	1	NA	32	NA	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67	NA	37	NA	NA	NA	NA	NA	NA	NA	NA	2	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Rathayibacter>unclassified&nbsp;Rathayibacter"
"Frigoribacterium><wbr>unclassified Frigoribacterium"	"-"	2627005	516	12	26	22	64	NA	21	425	43	56	91	28	42	13	55	46	43	2	1	516	47	29	NA	47	NA	35	357	43	236	67	159	31	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Frigoribacterium"
"Frigoribacterium sp. SL97"	"S"	2994664	130	9	NA	22	12	NA	2	82	12	NA	2	NA	17	13	4	NA	4	2	NA	130	NA	29	NA	3	NA	NA	55	NA	87	28	38	14	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Frigoribacterium>unclassified&nbsp;Frigoribacterium"
"Frigoribacterium sp. NBH87"	"S"	2596916	205	2	NA	NA	NA	NA	6	69	NA	50	86	28	8	NA	31	41	20	NA	1	205	6	NA	NA	6	NA	NA	127	13	NA	38	13	8	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Frigoribacterium>unclassified&nbsp;Frigoribacterium"
"Agromyces"	"G"	33877	445	12	103	105	45	46	41	10	40	189	266	233	33	43	104	68	40	68	1	216	97	67	11	46	445	43	149	126	60	46	14	28	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae"
"Agromyces protaetiae"	"S"	2509455	30	8	30	NA	NA	NA	13	NA	NA	NA	NA	NA	NA	NA	5	NA	1	NA	NA	NA	NA	23	1	NA	NA	NA	NA	NA	NA	NA	1	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Agromyces"
"Agromyces badenianii"	"S"	2080742	61	2	NA	NA	NA	NA	NA	NA	NA	10	61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Agromyces"
"Agromyces soli"	"S"	659012	144	1	26	NA	16	NA	15	NA	15	120	40	80	9	NA	11	19	17	22	NA	42	58	NA	3	19	144	NA	27	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Agromyces"
"Agromyces laixinhei"	"S"	2585717	42	1	NA	1	NA	NA	NA	NA	NA	NA	NA	42	NA	NA	NA	NA	9	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Agromyces"
"Leifsonia"	"G"	110932	237	10	36	31	64	35	22	11	55	NA	155	70	NA	30	7	107	4	10	NA	73	54	14	4	16	237	42	1	55	111	18	17	31	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae"
"unclassified Leifsonia"	"-"	2663824	174	6	36	10	29	13	22	11	10	NA	37	2	NA	23	7	58	2	NA	NA	72	NA	14	2	8	174	NA	NA	54	69	NA	7	21	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Leifsonia"
"Leifsonia sp. ZF2019"	"S"	2781978	68	6	NA	NA	NA	6	9	NA	10	NA	37	NA	NA	NA	NA	32	2	NA	NA	NA	NA	2	NA	NA	15	NA	NA	38	68	NA	NA	8	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Leifsonia>unclassified&nbsp;Leifsonia"
"Gulosibacter"	"G"	256818	634	9	1	32	29	7	NA	9	NA	24	NA	5	44	36	10	NA	21	15	2	75	NA	67	NA	9	458	13	211	339	634	22	3	26	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae"
"Gulosibacter sediminis"	"S"	1729695	584	9	1	8	NA	7	NA	8	NA	NA	NA	2	39	36	NA	NA	21	15	NA	1	NA	17	NA	8	251	13	208	338	584	8	2	23	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Gulosibacter"
"Clavibacter"	"G"	1573	361	7	3	12	2	15	6	16	19	NA	73	21	37	31	8	25	47	12	4	361	123	NA	4	4	81	14	76	11	105	15	38	42	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae"
"Clavibacter michiganensis"	"S"	28447	78	7	NA	12	2	9	5	3	2	NA	NA	5	2	2	1	25	2	2	NA	NA	78	NA	1	NA	1	1	13	5	36	2	5	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Clavibacter"
"Clavibacter michiganensis subsp. michiganensis"	"-"	33013	7	7	NA	NA	2	NA	5	1	2	NA	NA	5	NA	2	NA	NA	2	1	NA	NA	NA	NA	NA	NA	NA	1	3	1	NA	2	5	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Clavibacter>Clavibacter&nbsp;michiganensis"
"Mycetocola"	"G"	76634	208	5	1	7	NA	11	4	34	2	52	38	NA	4	2	94	2	16	36	21	114	5	34	8	3	2	NA	4	15	208	NA	9	8	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae"
"Mycetocola zhujimingii"	"S"	2079792	113	3	NA	NA	NA	5	NA	32	NA	1	38	NA	NA	1	20	NA	16	29	15	113	NA	15	NA	2	1	NA	NA	13	NA	NA	5	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Mycetocola"
"Mycetocola spongiae"	"S"	2859226	208	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	208	NA	1	6	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Mycetocola"
"Protaetiibacter"	"G"	2680004	430	4	NA	65	NA	NA	3	31	4	54	60	27	NA	NA	2	34	22	NA	1	34	36	NA	1	3	136	18	12	16	430	45	24	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae"
"Protaetiibacter larvae"	"S"	2592654	37	4	NA	13	NA	NA	NA	NA	NA	NA	37	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	3	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Protaetiibacter"
