"","species","genus","family","order","class","phylum","superkingdom","no rank"
"2270","Syntrophothermus lipocalidus","Syntrophothermus","Syntrophomonadaceae","Eubacteriales","Clostridia","Bacillota","Bacteria","cellular organisms"
"2271","Microbulbifer elongatus","Microbulbifer","Microbulbiferaceae","Cellvibrionales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2272","Pseudomonas lundensis","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2273","Stenotrophomonas geniculata","Stenotrophomonas","Lysobacteraceae","Lysobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2274","Pseudomonas thivervalensis","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2275","Saccharophagus degradans","Saccharophagus","Cellvibrionaceae","Cellvibrionales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2276","Mogibacterium pumilum","Mogibacterium","Anaerovoracaceae","Peptostreptococcales","Clostridia","Bacillota","Bacteria","cellular organisms"
"2277","Tomato yellow mottle virus","Begomovirus","Geminiviridae","Geplafuvirales","Repensiviricetes","Cressdnaviricota","Viruses","0"
"2278","Mesomycoplasma dispar","Mesomycoplasma","Metamycoplasmataceae","Mycoplasmoidales","0","Mycoplasmatota","Bacteria","cellular organisms"
"2279","Bacillus carboniphilus","Bacillus","Bacillaceae","Bacillales","Bacilli","Bacillota","Bacteria","cellular organisms"
"2280","Priestia flexa","Priestia","Bacillaceae","Bacillales","Bacilli","Bacillota","Bacteria","cellular organisms"
"2281","Halalkalibacterium halodurans","Halalkalibacterium (ex Joshi et al. 2022)","Bacillaceae","Bacillales","Bacilli","Bacillota","Bacteria","cellular organisms"
"2282","Pseudomonas cannabina","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2283","Yam mild mosaic virus","Potyvirus","Potyviridae","Patatavirales","Stelpaviricetes","Pisuviricota","Viruses","0"
"2284","Borreliella sinica","Borreliella","Borreliaceae","Spirochaetales","Spirochaetia","Spirochaetota","Bacteria","cellular organisms"
"2285","Ruoffia tabacinasalis","Ruoffia","Aerococcaceae","Lactobacillales","Bacilli","Bacillota","Bacteria","cellular organisms"
"2286","Aerococcus christensenii","Aerococcus","Aerococcaceae","Lactobacillales","Bacilli","Bacillota","Bacteria","cellular organisms"
"2287","Pseudoalteromonas sp. PS1M3","unclassified Pseudoalteromonas","Pseudoalteromonas","Pseudoalteromonadaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"2288","Burkholderia multivorans","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2289","Treponema primitia","Treponema","Treponemataceae","Spirochaetales","Spirochaetia","Spirochaetota","Bacteria","cellular organisms"
"2290","Thermus antranikianii","Thermus","Thermaceae","Thermales","Deinococci","Deinococcota","Bacteria","cellular organisms"
"2291","Lacticaseibacillus manihotivorans","Lacticaseibacillus","Lactobacillaceae","Lactobacillales","Bacilli","Bacillota","Bacteria","cellular organisms"
"2292","Dorea longicatena","Dorea","Lachnospiraceae","Lachnospirales","Clostridia","Bacillota","Bacteria","cellular organisms"
"2293","Caulobacter segnis","Caulobacter","Caulobacteraceae","Caulobacterales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2294","Natrinema versiforme","Natrinema","Natrialbaceae","Halobacteriales","Halobacteria","Euryarchaeota","Archaea","cellular organisms"
"2295","Halobacterium sp. GN101","unclassified Halobacterium","Halobacterium","Halobacteriaceae","Halobacteriales","Halobacteria","Euryarchaeota","Archaea"
"2296","Borreliella spielmanii","Borreliella","Borreliaceae","Spirochaetales","Spirochaetia","Spirochaetota","Bacteria","cellular organisms"
"2297","Blautia luti","Blautia","Lachnospiraceae","Lachnospirales","Clostridia","Bacillota","Bacteria","cellular organisms"
"2298","Gordonia amicalis","Gordonia","Gordoniaceae","Mycobacteriales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"2299","Ligilactobacillus acidipiscis","Ligilactobacillus","Lactobacillaceae","Lactobacillales","Bacilli","Bacillota","Bacteria","cellular organisms"
"2300","Ignavigranum ruoffiae","Ignavigranum","Aerococcaceae","Lactobacillales","Bacilli","Bacillota","Bacteria","cellular organisms"
"2301","Peptacetobacter hiranonis","Peptacetobacter","Peptostreptococcaceae","Peptostreptococcales","Clostridia","Bacillota","Bacteria","cellular organisms"
"2302","[Clostridium] hylemonae","Lachnoclostridium","Lachnospiraceae","Lachnospirales","Clostridia","Bacillota","Bacteria","cellular organisms"
"2303","Corynebacterium terpenotabidum","Corynebacterium","Corynebacteriaceae","Mycobacteriales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"2304","Ruegeria pomeroyi","Ruegeria","Roseobacteraceae","Rhodobacterales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2305","Neoehrlichia mikurensis","Candidatus Neoehrlichia","Anaplasmataceae","Rickettsiales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2306","Aromatoleum toluolicum","Aromatoleum","Rhodocyclaceae","Rhodocyclales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2307","Moraxella canis","Moraxella","Moraxellaceae","Moraxellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2308","Moraxella lincolnii","Moraxella","Moraxellaceae","Moraxellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2309","Oligella ureolytica","Oligella","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2310","Oligella urethralis","Oligella","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2311","Sphingomonas sp. A1","unclassified Sphingomonas","Sphingomonas","Sphingomonadaceae","Sphingomonadales","Alphaproteobacteria","Pseudomonadota","Bacteria"
"2312","Moineauvirus DT1","Moineauvirus","Aliceevansviridae","0","Caudoviricetes","Uroviricota","Viruses","0"
"2313","Methanothrix sp.","unclassified Methanothrix","Methanothrix","Methanotrichaceae","Methanotrichales","Methanomicrobia","Euryarchaeota","Archaea"
"2314","Moritella marina","Moritella","Moritellaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2315","Lyssavirus australis","Lyssavirus","Rhabdoviridae","Mononegavirales","Monjiviricetes","Negarnaviricota","Viruses","0"
"2316","Candidatus Paracaedibacter acanthamoebae","Candidatus Paracaedibacter","Candidatus Paracaedibacteraceae","Holosporales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2317","Colombian datura virus","Potyvirus","Potyviridae","Patatavirales","Stelpaviricetes","Pisuviricota","Viruses","0"
"2318","Cucurbit aphid-borne yellows virus","Polerovirus","Solemoviridae","Sobelivirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"2319","Candidatus Portiera aleyrodidarum","Candidatus Portiera","Zymobacter group","Halomonadaceae","Oceanospirillales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"2320","Asaia bogorensis","Asaia","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2321","Vibrio aerogenes","Vibrio","Vibrionaceae","Vibrionales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2322","Thiomicrospira aerophila","Thiomicrospira","Piscirickettsiaceae","Thiotrichales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2323","[Mycoplasma] anseris","Metamycoplasma","Metamycoplasmataceae","Mycoplasmoidales","0","Mycoplasmatota","Bacteria","cellular organisms"
"2324","Metamycoplasma cloacale","Metamycoplasma","Metamycoplasmataceae","Mycoplasmoidales","0","Mycoplasmatota","Bacteria","cellular organisms"
"2325","Metamycoplasma equirhinis","Metamycoplasma","Metamycoplasmataceae","Mycoplasmoidales","0","Mycoplasmatota","Bacteria","cellular organisms"
"2326","[Mycoplasma] gypis","Metamycoplasma","Metamycoplasmataceae","Mycoplasmoidales","0","Mycoplasmatota","Bacteria","cellular organisms"
"2327","Metamycoplasma subdolum","Metamycoplasma","Metamycoplasmataceae","Mycoplasmoidales","0","Mycoplasmatota","Bacteria","cellular organisms"
"2328","Winslowiella toletana","Winslowiella","Erwiniaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2329","Herbaspirillum frisingense","Herbaspirillum","Oxalobacteraceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2330","Paraburkholderia tropica","Paraburkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2331","[Brevibacterium] flavum","Corynebacterium","Corynebacteriaceae","Mycobacteriales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"2332","Mycoplasmoides fastidiosum","Mycoplasmoides","Mycoplasmoidaceae","Mycoplasmoidales","0","Mycoplasmatota","Bacteria","cellular organisms"
"2333","Ketogulonicigenium vulgare","Ketogulonicigenium","Roseobacteraceae","Rhodobacterales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2334","Ketogulonicigenium robustum","Ketogulonicigenium","Roseobacteraceae","Rhodobacterales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2335","Tomato severe leaf curl virus","Begomovirus","Geminiviridae","Geplafuvirales","Repensiviricetes","Cressdnaviricota","Viruses","0"
"2336","Sphingomonas koreensis","Sphingomonas","Sphingomonadaceae","Sphingomonadales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2337","Pandoraea apista","Pandoraea","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2338","Pandoraea norimbergensis","Pandoraea","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2339","Pandoraea pnomenusa","Pandoraea","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2340","Pandoraea pulmonicola","Pandoraea","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2341","Pandoraea sputorum","Pandoraea","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2342","Edwardsiella hoshinae","Edwardsiella","Hafniaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2343","Fervidobacterium pennivorans","Fervidobacterium","Fervidobacteriaceae","Thermotogales","Thermotogae","Thermotogota","Bacteria","cellular organisms"
"2344","TTV-like mini virus","unclassified Betatorquevirus","Betatorquevirus","0","0","0","Anelloviridae","Viruses"
"2345","Hantavirus Z10","unclassified Hantavirus","Orthohantavirus","Hantaviridae","Bunyavirales","Ellioviricetes","Negarnaviricota","Viruses"
"2346","Thermotoga petrophila","Thermotoga","Thermotogaceae","Thermotogales","Thermotogae","Thermotogota","Bacteria","cellular organisms"
"2347","Nonomuraea gerenzanensis","Nonomuraea","Streptosporangiaceae","Streptosporangiales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"2348","Shewanella japonica","Shewanella","Shewanellaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2349","Shewanella sp. ANA-3","unclassified Shewanella","Shewanella","Shewanellaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"2350","Ramlibacter tataouinensis","Ramlibacter","Comamonadaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2351","Sugarcane yellow leaf virus","Polerovirus","Solemoviridae","Sobelivirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"2352","Bordetella petrii","Bordetella","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2353","Brucella intermedia","Brucella","Brucella/Ochrobactrum group","Brucellaceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria"
"2354","Desulfurococcus amylolyticus","Desulfurococcus","Desulfurococcaceae","Desulfurococcales","Thermoprotei","Thermoproteota","Archaea","cellular organisms"
"2355","Dicliptera yellow mottle virus","Begomovirus","Geminiviridae","Geplafuvirales","Repensiviricetes","Cressdnaviricota","Viruses","0"
"2356","Clostridium gasigenes","Clostridium","Clostridiaceae","Eubacteriales","Clostridia","Bacillota","Bacteria","cellular organisms"
"2357","Pseudomonas vancouverensis","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2358","Sapporo virus","Sapovirus","Caliciviridae","Picornavirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"2359","Burkholderia stabilis","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2360","Burkholderia cenocepacia","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2361","Pseudomonas sp. M1","unclassified Pseudomonas","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"2362","Methylotuvimicrobium buryatense","Methylotuvimicrobium","Methylococcaceae","Methylococcales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2363","Tomato leaf curl Philippines virus","Begomovirus","Geminiviridae","Geplafuvirales","Repensiviricetes","Cressdnaviricota","Viruses","0"
"2364","Legionella fallonii","Legionella","Legionellaceae","Legionellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2365","Legionella lytica","Legionella","Legionellaceae","Legionellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2366","Cupriavidus oxalaticus","Cupriavidus","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2367","Nocardia vinacea","Nocardia","Nocardiaceae","Mycobacteriales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"2368","Thiothrix winogradskyi","Thiothrix","Thiotrichaceae","Thiotrichales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2369","Thauera chlorobenzoica","Thauera","Zoogloeaceae","Rhodocyclales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2370","Nanovirus-like particle","0","unclassified Begomovirus-associated alphasatellites","0","0","0","Alphasatellitidae","Viruses"
"2371","Vitreoscilla sp. C1","unclassified Vitreoscilla","Vitreoscilla","Neisseriaceae","Neisseriales","Betaproteobacteria","Pseudomonadota","Bacteria"
"2372","Halobacteriovorax marinus","Halobacteriovorax","Halobacteriovoraceae","Bacteriovoracales","Bacteriovoracia","Bdellovibrionota","Bacteria","cellular organisms"
"2373","Heterosigma akashiwo virus 01","Raphidovirus","Phycodnaviridae","Algavirales","Megaviricetes","Nucleocytoviricota","Viruses","0"
"2374","Ferroplasma acidarmanus","Ferroplasma","Ferroplasmaceae","Thermoplasmatales","Thermoplasmata","Candidatus Thermoplasmatota","Archaea","cellular organisms"
"2375","Acetomicrobium mobile","Acetomicrobium","Acetomicrobiaceae","Synergistales","Synergistia","Synergistota","Bacteria","cellular organisms"
"2376","Limosilactobacillus mucosae","Limosilactobacillus","Lactobacillaceae","Lactobacillales","Bacilli","Bacillota","Bacteria","cellular organisms"
"2377","Pasteurella skyensis","Pasteurella","Pasteurellaceae","Pasteurellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2378","Mycolicibacterium septicum","Mycolicibacterium","Mycobacteriaceae","Mycobacteriales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"2379","Pseudoglutamicibacter albus","Pseudoglutamicibacter","Micrococcaceae","Micrococcales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"2380","Bacteroides phage B40-8","0","0","0","unclassified Caudoviricetes","Caudoviricetes","Uroviricota","Viruses"
"2381","Murine leukemia-related retroviruses","unclassified Gammaretrovirus","Gammaretrovirus","Retroviridae","Ortervirales","Revtraviricetes","Artverviricota","Viruses"
"2382","Frangipani mosaic virus","Tobamovirus","Virgaviridae","Martellivirales","Alsuviricetes","Kitrinoviricota","Viruses","0"
"2383","Calothrix sp. PCC 7507","unclassified Calothrix","Calothrix","Calotrichaceae","Nostocales","Cyanophyceae","Cyanobacteriota","Bacteria"
"2384","Rhodococcus koreensis","Rhodococcus","Nocardiaceae","Mycobacteriales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"2385","Corynebacterium auriscanis","Corynebacterium","Corynebacteriaceae","Mycobacteriales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"2386","Blackcurrant reversion virus satellite RNA","0","0","0","0","0","unclassified Single stranded RNA satellites","Viruses"
"2387","Borreliella lusitaniae","Borreliella","Borreliaceae","Spirochaetales","Spirochaetia","Spirochaetota","Bacteria","cellular organisms"
"2388","Austwickia chelonae","Austwickia","Dermatophilaceae","Micrococcales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"2389","Sweet potato leaf curl virus","Begomovirus","Geminiviridae","Geplafuvirales","Repensiviricetes","Cressdnaviricota","Viruses","0"
"2390","Tomato chlorotic dwarf viroid","Pospiviroid","Pospiviroidae","0","0","0","Viruses","0"
"2391","Catenibacterium mitsuokai","Catenibacterium","Coprobacillaceae","Erysipelotrichales","Erysipelotrichia","Bacillota","Bacteria","cellular organisms"
"2392","Soil-borne cereal mosaic virus","Furovirus","Virgaviridae","Martellivirales","Alsuviricetes","Kitrinoviricota","Viruses","0"
"2393","Methanomethylovorans hollandica","Methanomethylovorans","Methanosarcinaceae","Methanosarcinales","Methanomicrobia","Euryarchaeota","Archaea","cellular organisms"
"2394","Tuberose mild mosaic virus","Potyvirus","Potyviridae","Patatavirales","Stelpaviricetes","Pisuviricota","Viruses","0"
"2395","Candidatus Blochmanniella pennsylvanica","Candidatus Blochmanniella","Enterobacteriaceae incertae sedis","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"2396","Pseudomonas alcaliphila","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2397","Enterobacteria phage ES18","0","0","0","unclassified Caudoviricetes","Caudoviricetes","Uroviricota","Viruses"
"2398","Burkholderia ubonensis","Burkholderia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2399","Carlavirus latensaconiti","Carlavirus","Betaflexiviridae","Tymovirales","Alsuviricetes","Kitrinoviricota","Viruses","0"
"2400","Desulfoscipio gibsoniae","Desulfoscipio","Desulfallaceae","Eubacteriales","Clostridia","Bacillota","Bacteria","cellular organisms"
"2401","Solobacterium moorei","Solobacterium","Erysipelotrichaceae","Erysipelotrichales","Erysipelotrichia","Bacillota","Bacteria","cellular organisms"
"2402","Streptococcus infantarius","Streptococcus","Streptococcaceae","Lactobacillales","Bacilli","Bacillota","Bacteria","cellular organisms"
"2403","Proteus penneri","Proteus","Morganellaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2404","Streptococcus didelphis","Streptococcus","Streptococcaceae","Lactobacillales","Bacilli","Bacillota","Bacteria","cellular organisms"
"2405","Peduovirus Wphi","Peduovirus","Peduoviridae","0","Caudoviricetes","Uroviricota","Viruses","0"
"2406","Actinomyces urogenitalis","Actinomyces","Actinomycetaceae","Actinomycetales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"2407","Nostoc sp. PCC 7120 = FACHB-418","unclassified Nostoc","Nostoc","Nostocaceae","Nostocales","Cyanophyceae","Cyanobacteriota","Bacteria"
"2408","Grapevine Red Globe virus","unclassified Maculavirus","Maculavirus","Tymoviridae","Tymovirales","Alsuviricetes","Kitrinoviricota","Viruses"
"2409","Saccharothrix espanaensis","Saccharothrix","Pseudonocardiaceae","Pseudonocardiales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"2410","Saccharothrix syringae","Saccharothrix","Pseudonocardiaceae","Pseudonocardiales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"2411","Pariacoto virus","Alphanodavirus","Nodaviridae","Nodamuvirales","Magsaviricetes","Kitrinoviricota","Viruses","0"
"2412","Enterobacteria phage phiP27","0","0","0","unclassified Caudoviricetes","Caudoviricetes","Uroviricota","Viruses"
"2413","Rhodococcus pyridinivorans","Rhodococcus","Nocardiaceae","Mycobacteriales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"2414","Janibacter terrae","Janibacter","Intrasporangiaceae","Micrococcales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"2415","Bordetella hinzii","Bordetella","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2416","Potato yellow vein virus","Crinivirus","Closteroviridae","Martellivirales","Alsuviricetes","Kitrinoviricota","Viruses","0"
"2417","Pseudomonas frederiksbergensis","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2418","Acetobacter estunensis","Acetobacter","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2419","Acetobacter tropicalis","Acetobacter","Acetobacteraceae","Rhodospirillales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2420","Hop latent virus","Carlavirus","Betaflexiviridae","Tymovirales","Alsuviricetes","Kitrinoviricota","Viruses","0"
"2421","Microbacterium foliorum","Microbacterium","Microbacteriaceae","Micrococcales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"2422","Pleione virus Y","Potyvirus","Potyviridae","Patatavirales","Stelpaviricetes","Pisuviricota","Viruses","0"
"2423","Rhopalanthe virus Y","Potyvirus","Potyviridae","Patatavirales","Stelpaviricetes","Pisuviricota","Viruses","0"
"2424","Sarcochilus virus Y","Potyvirus","Potyviridae","Patatavirales","Stelpaviricetes","Pisuviricota","Viruses","0"
"2425","Rabbit picobirnavirus","Picobirnavirus","Picobirnaviridae","Durnavirales","Duplopiviricetes","Pisuviricota","Viruses","0"
"2426","Kadipiro virus","Seadornavirus","Sedoreoviridae","Reovirales","Resentoviricetes","Duplornaviricota","Viruses","0"
"2427","St Croix River virus","Orbivirus","Sedoreoviridae","Reovirales","Resentoviricetes","Duplornaviricota","Viruses","0"
"2428","Vibrio penaeicida","Vibrio","Vibrionaceae","Vibrionales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2429","Prodigiosinella confusarubida","Prodigiosinella","Pectobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2430","Helicobacter suis","Helicobacter","Helicobacteraceae","Campylobacterales","Epsilonproteobacteria","Campylobacterota","Bacteria","cellular organisms"
"2431","Cardamom mosaic virus","Macluravirus","Potyviridae","Patatavirales","Stelpaviricetes","Pisuviricota","Viruses","0"
"2432","Indian citrus ringspot virus","Potexvirus","Alphaflexiviridae","Tymovirales","Alsuviricetes","Kitrinoviricota","Viruses","0"
"2433","Limosilactobacillus frumenti","Limosilactobacillus","Lactobacillaceae","Lactobacillales","Bacilli","Bacillota","Bacteria","cellular organisms"
"2434","Ralstonia mannitolilytica","Ralstonia","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2435","Methylibium petroleiphilum","Methylibium","Sphaerotilaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2436","Aeromonas bestiarum","Aeromonas","Aeromonadaceae","Aeromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2437","Anaerostipes caccae","Anaerostipes","Lachnospiraceae","Lachnospirales","Clostridia","Bacillota","Bacteria","cellular organisms"
"2438","Phietavirus ETA","Phietavirus","0","0","Caudoviricetes","Uroviricota","Viruses","0"
"2439","Frankia casuarinae","Frankia","Frankiaceae","Frankiales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"2440","Thermoanaerobacter siderophilus","Thermoanaerobacter","Thermoanaerobacteraceae","Thermoanaerobacterales","Clostridia","Bacillota","Bacteria","cellular organisms"
"2441","Cupriavidus necator","Cupriavidus","Burkholderiaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2442","Ensifer adhaerens","Ensifer","Sinorhizobium/Ensifer group","Rhizobiaceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria"
"2443","Thioalkalivibrio versutus","Thioalkalivibrio","Ectothiorhodospiraceae","Chromatiales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2444","Acinetobacter bereziniae","Acinetobacter","Moraxellaceae","Moraxellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2445","Acinetobacter guillouiae","Acinetobacter","Moraxellaceae","Moraxellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2446","Acinetobacter nosocomialis","Acinetobacter","Moraxellaceae","Moraxellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2447","Enterovirus G","Enterovirus","Picornaviridae","Picornavirales","Pisoniviricetes","Pisuviricota","Viruses","0"
"2448","Pseudoalteromonas ulvae","Pseudoalteromonas","Pseudoalteromonadaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2449","Methylobacterium fujisawaense","Methylobacterium","Methylobacteriaceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2450","Pseudomonas sp. A2","unclassified Pseudomonas","Pseudomonas","Pseudomonadaceae","Pseudomonadales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"2451","Methylomonas sp. LW13","unclassified Methylomonas","Methylomonas","Methylococcaceae","Methylococcales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"2452","Opitutus terrae","Opitutus","Opitutaceae","Opitutales","Opitutia","Verrucomicrobiota","Bacteria","cellular organisms"
"2453","Sorghum chlorotic spot virus","Furovirus","Virgaviridae","Martellivirales","Alsuviricetes","Kitrinoviricota","Viruses","0"
"2454","Thermanaerovibrio velox","Thermanaerovibrio","Synergistaceae","Synergistales","Synergistia","Synergistota","Bacteria","cellular organisms"
"2455","Thioalkalivibrio paradoxus","Thioalkalivibrio","Ectothiorhodospiraceae","Chromatiales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2456","Bradyrhizobium yuanmingense","Bradyrhizobium","Nitrobacteraceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"2457","Candidatus Blochmanniella camponoti","Candidatus Blochmanniella","Enterobacteriaceae incertae sedis","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"2458","Human mastadenovirus B","Mastadenovirus","Adenoviridae","Rowavirales","Tectiliviricetes","Preplasmiviricota","Viruses","0"
"2459","Thermoanaerobacter italicus","Thermoanaerobacter","Thermoanaerobacteraceae","Thermoanaerobacterales","Clostridia","Bacillota","Bacteria","cellular organisms"
"2460","Corynebacterium falsenii","Corynebacterium","Corynebacteriaceae","Mycobacteriales","Actinomycetes","Actinomycetota","Bacteria","cellular organisms"
"2461","Acinetobacter ursingii","Acinetobacter","Moraxellaceae","Moraxellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
