"name"	"taxRank"	"taxID"	"Max"	"C004_R.82_ORC.cladeReads"	"C001_FD2_ARM.cladeReads"	"C001_FD2_ORC.cladeReads"	"C001_FD3_ORC.cladeReads"	"C001_L.3_ORC.cladeReads"	"C001_L.44_ORC.cladeReads"	"C001_L.92_ORC.cladeReads"	"C001_R.1_ORC.cladeReads"	"C001_R.45_ORC.cladeReads"	"C001_R.82_ORC.cladeReads"	"C002_FD2_ORC.cladeReads"	"C002_FD3_ORC.cladeReads"	"C002_L.3_ORC.cladeReads"	"C002_L.44_ORC.cladeReads"	"C002_L.92_ORC.cladeReads"	"C002_R.1_ORC.cladeReads"	"C002_R.45_ORC.cladeReads"	"C002_R.82_ORC.cladeReads"	"C003_FD2_ORC.cladeReads"	"C003_FD3_ORC.cladeReads"	"C003_L.3_ORC.cladeReads"	"C003_L.44_ORC.cladeReads"	"C003_L.92_ORC.cladeReads"	"C003_R.1_ORC.cladeReads"	"C003_R.45_ORC.cladeReads"	"C003_R.82_ORC.cladeReads"	"C004_FD2_ORC.cladeReads"	"C004_FD3_ORC.cladeReads"	"C004_L.3_ORC.cladeReads"	"C004_L.44_ORC.cladeReads"	"C004_L.92_ORC.cladeReads"	"C004_R.1_ORC.cladeReads"	"C004_R.45_ORC.cladeReads"	"lineage"
"Pseudomonas fragi"	"S"	296	590	43	590	6	1	2	26	NA	48	1	1	NA	NA	4	2	1	1	3	12	18	9	NA	63	NA	110	13	57	2	NA	NA	1	1	17	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;chlororaphis&nbsp;group"
"Pseudomonas piscis"	"S"	2614538	17	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;chlororaphis&nbsp;group"
"Pseudomonas siliginis"	"S"	2842346	203	203	163	NA	44	20	1	NA	2	NA	NA	3	NA	NA	NA	NA	NA	4	17	NA	NA	NA	18	NA	34	8	2	NA	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas psychrotolerans"	"S"	237610	203	203	NA	1	NA	16	81	NA	3	4	NA	16	2	6	6	6	2	5	17	23	59	6	NA	NA	36	7	25	NA	20	NA	5	2	10	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas syringae group"	"-"	136849	418	105	418	4	3	3	29	5	5	3	7	31	NA	11	NA	10	NA	1	14	40	30	8	73	8	18	18	31	10	5	6	2	4	32	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas viridiflava"	"S"	33069	24	24	2	NA	NA	NA	NA	NA	NA	NA	3	4	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;syringae&nbsp;group"
"Pseudomonas syringae group genomosp. 1><wbr>Pseudomonas syringae"	"S"	317	24	15	11	NA	1	NA	24	NA	1	NA	NA	1	NA	1	NA	3	NA	1	3	11	2	NA	20	NA	NA	6	8	NA	NA	NA	1	NA	7	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;syringae&nbsp;group>Pseudomonas&nbsp;syringae&nbsp;group&nbsp;genomosp.&nbsp;1"
"Pseudomonas syringae UB303"	"-"	1357287	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;syringae&nbsp;group>Pseudomonas&nbsp;syringae&nbsp;group&nbsp;genomosp.&nbsp;1>Pseudomonas&nbsp;syringae"
"Pseudomonas syringae pv. lapsa"	"-"	199201	3	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;syringae&nbsp;group>Pseudomonas&nbsp;syringae&nbsp;group&nbsp;genomosp.&nbsp;1>Pseudomonas&nbsp;syringae"
"Pseudomonas syringae pv. syringae"	"-"	321	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;syringae&nbsp;group>Pseudomonas&nbsp;syringae&nbsp;group&nbsp;genomosp.&nbsp;1>Pseudomonas&nbsp;syringae"
"Pseudomonas tremae"	"S"	200454	13	13	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;syringae&nbsp;group"
"Pseudomonas syringae group genomosp. 2><wbr>Pseudomonas amygdali"	"S"	47877	22	12	2	4	1	1	4	5	4	3	1	3	NA	9	NA	NA	NA	NA	2	16	22	7	6	7	12	1	4	4	5	6	1	2	15	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;syringae&nbsp;group>Pseudomonas&nbsp;syringae&nbsp;group&nbsp;genomosp.&nbsp;2"
"Pseudomonas amygdali pv. lachrymans"	"-"	53707	22	6	2	4	1	1	4	5	4	3	1	3	NA	9	NA	NA	NA	NA	2	16	22	7	6	7	12	1	4	4	5	6	1	2	15	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;syringae&nbsp;group>Pseudomonas&nbsp;syringae&nbsp;group&nbsp;genomosp.&nbsp;2>Pseudomonas&nbsp;amygdali"
"Pseudomonas amygdali pv. tabaci><wbr>Pseudomonas amygdali pv. tabaci str. ATCC 11528"	"-"	573066	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;syringae&nbsp;group>Pseudomonas&nbsp;syringae&nbsp;group&nbsp;genomosp.&nbsp;2>Pseudomonas&nbsp;amygdali>Pseudomonas&nbsp;amygdali&nbsp;pv.&nbsp;tabaci"
"Pseudomonas lijiangensis"	"S"	2995658	10	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	4	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;syringae&nbsp;group"
"Pseudomonas asturiensis"	"S"	1190415	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;syringae&nbsp;group"
"Pseudomonas avellanae"	"S"	46257	3	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	3	1	NA	NA	NA	NA	NA	2	1	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;syringae&nbsp;group"
"Pseudomonas benzopyrenica"	"S"	2993566	96	96	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	2	NA	8	NA	NA	NA	32	NA	8	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas wenzhouensis"	"S"	2906062	514	86	185	8	129	37	172	13	292	4	33	89	11	31	10	6	13	3	12	84	514	88	273	6	324	64	315	9	29	11	17	12	57	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas qingdaonensis"	"S"	2056231	4020	58	4020	NA	20	NA	NA	NA	NA	NA	25	1	7	NA	NA	1	NA	NA	9	4	3	34	NA	NA	27	NA	242	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas juntendi"	"S"	2666183	302	46	17	34	40	41	71	17	27	15	19	12	3	48	19	76	5	8	26	112	302	75	55	141	98	17	20	109	89	46	45	89	110	14	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas extremaustralis"	"S"	359110	1217	44	1217	NA	10	17	23	1	NA	NA	6	15	4	NA	NA	2	4	NA	4	NA	5	5	136	2	15	NA	79	NA	NA	NA	6	1	6	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas alcaliphila><wbr>Pseudomonas alcaliphila JAB1"	"-"	741155	525	43	525	4	NA	16	NA	NA	36	NA	NA	25	8	6	1	NA	1	7	3	20	59	54	200	1	8	21	25	1	11	NA	NA	2	33	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;alcaliphila"
"Pseudomonas sediminis"	"S"	1691904	623	43	429	6	21	4	27	NA	7	NA	3	19	12	42	12	5	8	4	4	57	623	74	369	9	207	26	32	NA	21	1	4	15	20	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas hydrolytica"	"S"	2493633	295	34	295	NA	34	NA	8	NA	24	1	NA	NA	1	21	1	NA	NA	NA	NA	24	71	5	NA	NA	NA	17	16	NA	NA	1	6	4	15	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas atacamensis"	"S"	2565368	40	33	NA	NA	40	8	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	1	NA	3	2	NA	24	NA	NA	5	NA	NA	NA	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas yamanorum"	"S"	515393	1030	30	1030	NA	11	13	22	1	44	1	21	10	1	2	NA	NA	1	1	9	16	3	23	NA	2	61	4	76	NA	NA	NA	3	NA	9	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas canadensis"	"S"	915099	73	25	NA	1	NA	NA	NA	NA	37	NA	2	4	NA	NA	NA	NA	NA	NA	3	8	2	3	73	NA	22	4	17	4	5	2	NA	NA	9	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas coleopterorum"	"S"	1605838	35	24	NA	1	NA	14	NA	1	NA	NA	1	35	NA	NA	NA	NA	1	NA	2	2	5	NA	NA	2	NA	NA	25	2	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas tohonis"	"S"	2725477	65	23	NA	1	5	NA	NA	1	NA	NA	1	NA	NA	NA	1	NA	NA	NA	5	5	17	NA	NA	NA	65	NA	25	NA	NA	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas versuta"	"S"	1788301	806	23	806	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	3	NA	1	NA	NA	2	NA	5	5	NA	NA	NA	13	NA	NA	NA	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas luteola"	"S"	47886	385	21	385	5	265	13	13	1	NA	3	8	22	1	4	1	3	1	1	205	25	62	2	60	2	20	NA	163	NA	197	3	17	2	15	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas chengduensis"	"S"	489632	231	21	152	1	39	NA	16	NA	20	1	13	17	1	12	NA	NA	7	NA	NA	20	135	19	180	2	231	24	23	1	11	1	2	4	6	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas saxonica"	"S"	2600598	37	19	16	10	14	33	3	25	5	22	3	11	5	18	23	10	15	4	10	17	15	7	37	26	25	14	9	14	15	14	10	6	8	31	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas soli"	"S"	1306993	18	18	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas eucalypticola"	"S"	2599595	67	15	2	1	NA	12	67	NA	26	NA	6	8	1	NA	NA	42	1	NA	NA	5	2	7	18	NA	NA	NA	37	NA	9	NA	NA	NA	3	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas simiae"	"S"	321846	83	15	83	NA	7	NA	1	1	NA	4	NA	5	NA	NA	NA	1	1	NA	1	NA	12	NA	54	2	48	NA	20	6	1	2	NA	1	7	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas hefeiensis"	"S"	2738125	351	13	351	4	11	5	NA	NA	NA	1	NA	4	3	NA	1	1	11	NA	NA	1	8	NA	NA	3	1	6	NA	3	2	1	NA	6	16	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas lactis"	"S"	1615674	28	12	10	2	NA	NA	25	NA	1	NA	9	4	NA	NA	NA	NA	2	NA	6	13	5	NA	1	2	28	14	1	2	NA	1	2	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas lurida"	"S"	244566	29	11	NA	NA	4	NA	9	NA	NA	NA	3	NA	NA	1	1	1	NA	NA	NA	4	5	NA	NA	1	NA	NA	29	1	NA	NA	NA	NA	4	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas taetrolens"	"S"	47884	192	10	192	1	NA	20	20	NA	NA	3	NA	3	NA	2	1	7	NA	NA	NA	2	9	NA	NA	4	NA	6	NA	1	NA	1	NA	6	10	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas guguanensis"	"S"	1198456	334	10	NA	10	4	33	33	NA	22	2	3	3	NA	27	5	4	4	3	NA	55	334	35	161	NA	NA	14	59	2	47	3	10	16	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas knackmussii"	"S"	65741	37	10	4	1	13	NA	NA	NA	NA	NA	9	9	NA	4	3	NA	NA	1	4	12	25	NA	27	NA	NA	3	37	2	13	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas asiatica"	"S"	2219225	129	10	129	NA	NA	NA	8	7	1	4	NA	1	NA	NA	NA	1	2	8	NA	10	90	15	33	NA	25	11	38	NA	21	NA	NA	1	11	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas benzenivorans"	"S"	556533	30	9	NA	NA	7	NA	NA	NA	NA	1	NA	NA	NA	2	NA	NA	5	NA	NA	10	10	NA	30	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas sivasensis"	"S"	1880678	100	9	100	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	3	1	4	NA	NA	NA	21	NA	3	NA	18	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas umsongensis"	"S"	198618	40	9	NA	NA	NA	NA	1	2	NA	NA	NA	4	NA	NA	NA	NA	2	1	NA	2	1	NA	NA	1	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas entomophila"	"S"	312306	20	8	6	NA	20	NA	1	NA	1	NA	10	3	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas prosekii"	"S"	1148509	8	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas alkylphenolica"	"S"	237609	306	7	306	NA	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas muyukensis"	"S"	2842357	7	7	NA	NA	7	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas oryziphila"	"S"	2894079	422	6	422	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	2	21	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas paraveronii"	"S"	3040598	36	6	NA	NA	14	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas sichuanensis"	"S"	2213015	11	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas promysalinigenes"	"S"	485898	5	5	1	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas psychrophila"	"S"	122355	103	5	4	1	NA	NA	NA	NA	66	1	NA	23	NA	NA	1	3	NA	NA	NA	NA	NA	NA	NA	NA	103	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas berkeleyensis"	"S"	2726956	50	5	NA	15	11	11	NA	3	NA	NA	NA	NA	1	6	8	23	6	NA	3	3	50	26	4	9	2	NA	30	37	12	NA	7	20	32	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas monsensis"	"S"	2745509	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas rhizosphaerae"	"S"	216142	10	4	10	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	5	NA	NA	2	NA	2	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas brassicacearum"	"S"	930166	26	4	1	NA	NA	NA	26	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	1	1	1	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas pohangensis"	"S"	364197	30	4	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas saudiphocaensis"	"S"	1499686	38	4	8	NA	9	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	38	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas maumuensis"	"S"	2842354	52	4	52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas otitidis"	"S"	319939	119	4	1	NA	NA	5	NA	NA	19	NA	5	NA	NA	17	NA	NA	NA	NA	1	2	74	NA	25	1	119	21	29	3	9	NA	NA	5	10	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas zeae"	"S"	2745510	5	3	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas taiwanensis"	"S"	470150	165	3	165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas palleroniana"	"S"	191390	17	2	1	NA	NA	1	NA	NA	10	3	NA	NA	NA	NA	NA	1	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	17	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Candidatus Pseudomonas adelgestsugas"	"S"	1302376	13	2	8	NA	1	5	1	NA	NA	NA	NA	3	NA	NA	2	3	NA	NA	NA	1	NA	NA	NA	NA	13	3	NA	NA	NA	NA	1	1	1	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
"Pseudomonas antarctica"	"S"	219572	11	2	1	NA	NA	NA	11	NA	NA	2	NA	5	NA	NA	NA	NA	NA	NA	1	4	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas"
