"name"	"taxRank"	"taxID"	"Max"	"C001_FD2_TZO.cladeReads"	"C001_FD3_TZO.cladeReads"	"C001_L.3_TZO.cladeReads"	"C001_L.44_TZO.cladeReads"	"C001_L.92_TZO.cladeReads"	"C001_R.1_TZO.cladeReads"	"C001_R.45_TZO.cladeReads"	"C001_R.82_TZO.cladeReads"	"C002_FD2_TZO.cladeReads"	"C002_FD3_TZO.cladeReads"	"C002_L.3_TZO.cladeReads"	"C002_L.44_TZO.cladeReads"	"C002_L.44.cladeReads"	"C002_L.92_TZO.cladeReads"	"C002_L.92.cladeReads"	"C002_R.1_TZO.cladeReads"	"C002_R.45_TZO.cladeReads"	"C002_R.45.cladeReads"	"C002_R.82_TZO.cladeReads"	"C002_R.82.cladeReads"	"C003_FD2_TZO.cladeReads"	"C003_FD3_TZO.cladeReads"	"C003_L.3_TZO.cladeReads"	"C003_L.44_TZO.cladeReads"	"C003_L.92_TZO.cladeReads"	"C003_R.1_TZO.cladeReads"	"C003_R.45_TZO.cladeReads"	"C003_R.82_TZO.cladeReads"	"C004_FD2_TZO.cladeReads"	"C004_FD3_TZO.cladeReads"	"C004_L.3_TZO.cladeReads"	"C004_L.44_TZO.cladeReads"	"C004_L.44.cladeReads"	"C004_L.92_TZO.cladeReads"	"C004_L.92.cladeReads"	"C004_R.1_TZO.cladeReads"	"C004_R.45_TZO.cladeReads"	"C004_R.45.cladeReads"	"C004_R.82_TZO.cladeReads"	"C004_R.82.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_FD2_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_FD3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_L.3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_L.44_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_L.92_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_R.1_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_R.45_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_R.82_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_FD2_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_FD3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_L.3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_L.44_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_L.92_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_R.1_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_R.45_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_R.82_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_FD2_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_FD3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_L.3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_L.44_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_L.92_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_R.1_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_R.45_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_R.82_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_FD2_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_FD3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_L.3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_L.44_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_L.92_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_R.1_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_R.45_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_R.82_ORC.cladeReads"	"lineage"
"Mesorhizobium ciceri"	"S"	39645	17	2	7	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	1	NA	NA	NA	NA	NA	NA	5	7	1	NA	NA	17	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae>Mesorhizobium"
"Mesorhizobium onobrychidis"	"S"	2775404	13	2	8	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA	NA	3	NA	1	NA	4	5	NA	NA	NA	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae>Mesorhizobium"
"Mesorhizobium mediterraneum"	"S"	43617	5	1	3	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	NA	NA	2	5	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae>Mesorhizobium"
"Aminobacter sp. MSH1"	"S"	374606	12	3	4	NA	1	NA	1	NA	NA	1	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	6	2	1	1	1	NA	NA	9	7	1	2	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae>Aminobacter>unclassified&nbsp;Aminobacter"
"Aminobacter sp. MDW-2"	"S"	2666139	7	1	NA	1	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	NA	NA	NA	NA	NA	4	5	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae>Aminobacter>unclassified&nbsp;Aminobacter"
"Aminobacter aminovorans"	"S"	83263	18	3	15	NA	NA	NA	NA	NA	NA	NA	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	7	13	NA	1	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae>Aminobacter"
"Aminobacter niigataensis"	"S"	83265	2	1	1	1	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae>Aminobacter"
"Nitratireductor rhodophyticola"	"S"	2854036	22	9	6	NA	NA	NA	NA	NA	NA	NA	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	7	1	NA	1	NA	NA	NA	18	22	NA	1	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae>Nitratireductor"
"Nitratireductor kimnyeongensis"	"S"	430679	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae>Nitratireductor"
"Nitratireductor mangrovi"	"S"	2599600	11	1	3	1	NA	1	NA	1	NA	NA	1	2	NA	4	NA	NA	NA	NA	1	NA	1	NA	NA	1	NA	NA	NA	NA	NA	3	4	1	2	NA	11	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae>Nitratireductor"
"Chelativorans sp. AA-79"	"S"	3028735	20	6	11	1	NA	1	3	3	NA	NA	20	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	2	1	NA	NA	NA	NA	NA	5	18	NA	NA	NA	11	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae>Chelativorans>unclassified&nbsp;Chelativorans"
"Aquibium oceanicum"	"S"	1670800	20	2	3	NA	NA	NA	NA	1	1	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3	NA	NA	NA	NA	1	NA	1	5	2	2	NA	20	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae>Aquibium"
"Aquibium microcysteis"	"S"	675281	10	1	1	4	NA	2	1	1	NA	NA	1	2	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	1	2	NA	NA	NA	1	2	NA	NA	NA	10	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Phyllobacteriaceae>Aquibium"
"Rhizobium sp. X9"	"S"	2815360	19	9	13	NA	2	1	2	2	NA	NA	14	3	NA	NA	1	NA	1	NA	NA	NA	NA	3	2	3	NA	NA	2	NA	NA	18	12	5	10	NA	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium>unclassified&nbsp;Rhizobium"
"Rhizobium sp. NZLR1"	"S"	2731096	6	6	5	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium>unclassified&nbsp;Rhizobium"
"Rhizobium sp. CC-CFT758"	"S"	2926709	55	4	5	9	4	3	5	2	2	NA	1	2	NA	NA	NA	NA	4	NA	NA	NA	NA	6	2	3	1	1	1	1	NA	5	22	16	15	NA	55	NA	1	4	NA	2	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium>unclassified&nbsp;Rhizobium"
"Rhizobium sp. TH2"	"S"	2775403	10	2	6	2	NA	NA	1	2	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	8	10	NA	NA	NA	9	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium>unclassified&nbsp;Rhizobium"
"Rhizobium sp. WSM1274"	"S"	3138254	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium>unclassified&nbsp;Rhizobium"
"Rhizobium sp. CCGE 510"	"S"	1132836	2	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium>unclassified&nbsp;Rhizobium"
"Rhizobium sp. Pop5"	"S"	1223565	601	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1	NA	NA	NA	NA	NA	18	48	47	73	NA	601	NA	21	6	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium>unclassified&nbsp;Rhizobium"
"Rhizobium sp. AB2/73"	"S"	2795216	12	1	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	2	12	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium>unclassified&nbsp;Rhizobium"
"Rhizobium sp. WL3"	"S"	2603277	5	1	2	4	1	NA	1	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	2	2	NA	5	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium>unclassified&nbsp;Rhizobium"
"Rhizobium hidalgonense"	"S"	1538159	7	7	1	5	NA	NA	NA	4	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium leguminosarum"	"S"	384	16	3	4	3	NA	2	NA	2	NA	NA	9	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	5	1	1	NA	NA	1	6	16	NA	2	NA	11	NA	NA	1	1	NA	1	3	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium sullae"	"S"	50338	3	3	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	2	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium rhizoryzae"	"S"	451876	10	2	2	10	2	10	1	2	NA	2	2	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	2	1	NA	1	NA	NA	2	1	2	2	NA	5	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium bangladeshense"	"S"	1138189	6	2	3	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	6	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium rhizogenes"	"S"	359	13	1	6	1	NA	NA	1	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	3	13	1	1	NA	5	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium daejeonense"	"S"	240521	16	1	1	3	NA	1	3	16	NA	NA	6	1	NA	NA	5	NA	NA	NA	NA	1	NA	1	5	4	1	NA	NA	NA	NA	1	NA	2	8	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	1	NA	3	NA	NA	3	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Rhizobium ruizarguesonis"	"S"	2081791	3	1	NA	NA	NA	1	2	NA	NA	NA	2	NA	NA	NA	NA	NA	1	NA	1	NA	1	NA	1	NA	NA	1	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Rhizobium"
"Agrobacterium tumefaciens"	"S"	358	110	9	23	15	2	8	42	7	26	8	33	43	NA	1	NA	1	5	7	NA	NA	1	4	6	49	9	5	5	2	1	12	24	23	40	1	110	NA	6	NA	1	3	NA	1	NA	4	1	1	NA	4	NA	1	NA	2	1	NA	1	NA	1	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	2	1	4	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Agrobacterium>Agrobacterium&nbsp;tumefaciens&nbsp;complex"
"Agrobacterium fabrum"	"S"	1176649	9	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	9	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Agrobacterium>Agrobacterium&nbsp;tumefaciens&nbsp;complex"
"Agrobacterium pusense"	"S"	648995	895	5	11	57	1	19	11	10	5	5	19	7	NA	NA	4	NA	2	NA	NA	NA	NA	46	11	47	37	23	14	14	37	66	449	339	123	1	895	NA	110	169	NA	36	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	2	NA	1	1	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Agrobacterium"
"Agrobacterium deltaense"	"S"	1183412	4	1	2	1	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Agrobacterium"
"Neorhizobium sp. CSC1952"	"S"	2978974	18	6	7	NA	NA	1	NA	NA	NA	NA	18	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	4	10	2	NA	1	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Neorhizobium>unclassified&nbsp;Neorhizobium"
"Neorhizobium sp. SOG26"	"S"	2060726	11	1	2	4	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	2	NA	11	NA	NA	NA	NA	NA	2	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Neorhizobium>unclassified&nbsp;Neorhizobium"
"Neorhizobium galegae"	"S"	399	26	3	4	NA	NA	NA	NA	1	NA	NA	7	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	1	2	16	NA	NA	1	NA	3	4	3	2	NA	11	1	NA	1	1	NA	3	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group>Neorhizobium"
